full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude,planning_area,subzone
275D COMPASSVALE LINK,6333.333333333333,6639.431884057971,public,1.38290495731413,103.893713485123,SENGKANG,COMPASSVALE
275D JURONG WEST ST 25,3657.6576576576576,3937.10132990133,public,1.35365693617407,103.702944187723,JURONG WEST,WENYA
276 BANGKIT RD,3852.459016393442,4113.035017204024,public,1.37622287943252,103.775700265583,BUKIT PANJANG,BANGKIT
276 CHOA CHU KANG AVE 2,4573.770491803279,4341.848495766529,public,1.3795686389922,103.744327188173,CHOA CHU KANG,KEAT HONG
276 TAMPINES ST 22,4864.864864864865,4688.281072686812,public,1.34744378451781,103.950617728372,TAMPINES,TAMPINES EAST
276 TOH GUAN RD,5261.363636363636,5215.387328408166,public,1.34096054679072,103.747453693181,JURONG EAST,TOH GUAN
276 YISHUN ST 22,4307.692307692308,4247.892501017501,public,1.43782287576482,103.837838021643,YISHUN,NORTHLAND
276A JURONG WEST ST 25,4005.681818181818,4419.0756363636365,public,1.35320439038387,103.703654377512,JURONG WEST,WENYA
276B JURONG WEST AVE 3,3734.2342342342345,3987.515390390391,public,1.35266387212157,103.704448082084,JURONG WEST,WENYA
276C JURONG WEST ST 25,3722.222222222222,3962.220492492492,public,1.35323553027461,103.704442590627,JURONG WEST,WENYA
276D JURONG WEST ST 25,3738.738738738739,3901.199306999307,public,1.35360883796571,103.704493057395,JURONG WEST,WENYA
277 BANGKIT RD,3606.55737704918,3737.139155702224,public,1.37606226195911,103.775010615964,BUKIT PANJANG,BANGKIT
277 CHOA CHU KANG AVE 2,3469.278955084633,4006.742815694235,public,1.37987227900139,103.744605644093,CHOA CHU KANG,KEAT HONG
277 TAMPINES ST 22,4310.810810810811,4492.595111058747,public,1.34727819641372,103.951193517105,TAMPINES,TAMPINES EAST
277 TOH GUAN RD,5309.917355371901,5316.785963411682,public,1.34131892672099,103.74672572293,JURONG EAST,TOH GUAN
277 YISHUN ST 22,4383.561643835616,4659.542974234432,public,1.4379184368119,103.836994609459,YISHUN,NORTHLAND
277A COMPASSVALE LINK,6311.111111111111,6583.371594202898,public,1.38186369165368,103.894481478264,SENGKANG,COMPASSVALE
277B COMPASSVALE LINK,6222.222222222223,6407.734965400183,public,1.38233665684196,103.894510812295,SENGKANG,COMPASSVALE
277C COMPASSVALE LINK,6333.333333333333,6497.184407796101,public,1.382379846623,103.893800423718,SENGKANG,COMPASSVALE
277D COMPASSVALE LINK,6527.777777777777,6854.43564143854,public,1.38183345894478,103.893909396228,SENGKANG,COMPASSVALE
278 BISHAN ST 24,6370.37037037037,6790.671267064275,public,1.3574258202027,103.843541231528,BISHAN,MARYMOUNT
278 BT BATOK EAST AVE 3,3984.375,4365.279819277109,public,1.34785140092909,103.757774174346,BUKIT BATOK,BUKIT BATOK EAST
278 CHOA CHU KANG AVE 3,3379.8076923076924,3789.068214804064,public,1.38009306194055,103.743465436354,CHOA CHU KANG,KEAT HONG
278 TAMPINES ST 22,3999.158249158249,4132.673217360476,public,1.34678375050017,103.951136569321,TAMPINES,TAMPINES EAST
278 TOH GUAN RD,5194.972451790633,5165.790229591141,public,1.34090157770535,103.746437082019,JURONG EAST,TOH GUAN
278 YISHUN ST 22,4052.8846153846152,4055.142968142968,public,1.43831415037996,103.838226869973,YISHUN,NORTHLAND
278A COMPASSVALE BOW,6596.608695652174,6735.480364383597,public,1.38188082172346,103.890295472102,SENGKANG,COMPASSVALE
278B COMPASSVALE BOW,7158.300884955752,7010.642403255331,public,1.38235083780012,103.890641438035,SENGKANG,COMPASSVALE
278C COMPASSVALE BOW,6934.782608695652,7142.181818181818,public,1.38286377567256,103.890986395821,SENGKANG,COMPASSVALE
279 CHOA CHU KANG AVE 3,3125.0,3495.3703703703704,public,1.38069462181096,103.743434411582,CHOA CHU KANG,KEAT HONG
279 TAMPINES ST 22,3977.272727272727,4155.303479281988,public,1.34629229402625,103.951686109789,TAMPINES,TAMPINES EAST
279 TOH GUAN RD,5134.282178217822,5259.036155103114,public,1.34072885868923,103.746781223695,JURONG EAST,TOH GUAN
279 YISHUN ST 22,3995.192307692308,4138.416023292946,public,1.43837258876623,103.837384298272,YISHUN,NORTHLAND
279A SENGKANG EAST AVE,6253.731343283582,6326.975124378109,public,1.38577466101388,103.893065739187,SENGKANG,COMPASSVALE
279B SENGKANG EAST AVE,6339.285714285715,6685.341668451489,public,1.38541559450444,103.892986078183,SENGKANG,COMPASSVALE
279C SENGKANG EAST AVE,6297.671641791045,6418.8507462686575,public,1.38572932197005,103.892595434586,SENGKANG,COMPASSVALE
27A JLN MEMBINA,8199.346405228758,8446.890091503268,public,1.2822186913861,103.824536254761,BUKIT MERAH,TIONG BAHRU STATION
27B JLN MEMBINA,8527.272727272728,8751.513355780022,public,1.28290865549123,103.824868037687,BUKIT MERAH,TIONG BAHRU STATION
28 BALAM RD,5471.698113207547,5547.902368313995,public,1.33048096275076,103.886579205764,GEYLANG,MACPHERSON
28 BENDEMEER RD,5433.734939759036,5611.799309915719,public,1.31869832503738,103.863232193576,KALLANG,BENDEMEER
28 CASSIA CRES,7294.117647058823,7480.100354504325,public,1.30894452962256,103.883530101124,GEYLANG,ALJUNIED
28 GHIM MOH LINK,8565.217391304348,8513.482894796723,public,1.30887985026284,103.784802916649,QUEENSTOWN,GHIM MOH
28 HOY FATT RD,4893.617021276596,4904.588359011984,public,1.28675654367639,103.810121713045,BUKIT MERAH,ALEXANDRA HILL
28 JLN BAHAGIA,4017.857142857143,4234.042554929347,public,1.32577955574857,103.858806901306,NOVENA,BALESTIER
28 JLN BT MERAH,4916.666666666667,4898.0471152003065,public,1.28640350234512,103.809741989834,BUKIT MERAH,ALEXANDRA HILL
28 JLN KLINIK,5327.586206896552,5334.011539229096,public,1.28789877031281,103.828203629292,BUKIT MERAH,BUKIT HO SWEE
28 KELANTAN RD,5797.713097713098,5755.5944055944055,public,1.30581076021463,103.857479607569,ROCHOR,SUNGEI ROAD
28 MARINE CRES,6823.296167247387,6789.584422183509,public,1.30343745455285,103.913348823707,MARINE PARADE,MARINE PARADE
28 MARSILING DR,3917.525773195877,3663.769042892818,public,1.44279097620867,103.773706575083,WOODLANDS,NORTH COAST
28 NEW UPP CHANGI RD,4738.461538461538,4836.456443994602,public,1.32370531661721,103.934992763383,BEDOK,BEDOK SOUTH
28 TELOK BLANGAH RISE,5338.983050847458,5068.684422921711,public,1.27394761788206,103.820866934319,BUKIT MERAH,TELOK BLANGAH RISE
28 TIONG BAHRU RD,7045.459545454545,7088.070681818182,public,1.28567366116279,103.830497487171,BUKIT MERAH,TIONG BAHRU
280 BT BATOK EAST AVE 3,4218.75,4718.75,public,1.34770147739311,103.757044584552,BUKIT BATOK,BUKIT BATOK EAST
