project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
GARDEN PARK RESIDENCES,25 LORONG M TELOK KURAU GARDEN PARK RESIDENCES SINGAPORE 425310,14801.396244583537,15391.133719284311,private,103.91006352806772,1.3107916943319473,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in JALAN LOYANG BESAR,161U JALAN LOYANG BESAR LOYANG COURT SINGAPORE 509517,15357.142857142857,13201.099724399968,private,103.96017511772824,1.3790727627164758,PASIR RIS,PASIR RIS PARK
LANDED HOUSING DEVELOPMENT in PALM AVENUE,PALM AVENUE,17313.432835820895,17313.432835820895,private,103.93010672435298,1.3125371580791192,BEDOK,FRANKEL
PARRYVILLE,22 POH HUAT DRIVE PARRYVILLE SINGAPORE 546812,18825.273127260523,18453.55786218773,private,103.88067264676792,1.366080401982971,HOUGANG,KOVAN
LANDED HOUSING DEVELOPMENT in TOH TUCK ROAD,69 TOH TUCK ROAD TOH TUCK GARDEN SINGAPORE 596734,18637.157833430403,17359.763080257693,private,103.76508009967252,1.339502444028135,BUKIT TIMAH,ANAK BUKIT
EVERGREEN PARK,37 HOUGANG AVENUE 7 EVERGREEN PARK SINGAPORE 538803,9267.021276595744,9298.731801162245,private,103.8995805756663,1.3695337658578743,HOUGANG,KANGKAR
EASTWOOD VILLE,23 EASTWOOD TERRACE EASTWOOD VILLE SINGAPORE 486493,11919.081465281572,12015.35885624401,private,103.95683676366112,1.3219886277041235,BEDOK,BEDOK SOUTH
LANDED HOUSING DEVELOPMENT in THIAM SIEW AVENUE,6 THIAM SIEW AVENUE THE CONTINUUM SINGAPORE 436844,33251.55178519417,33251.55178519417,private,103.89612786753776,1.3114043584428805,GEYLANG,GEYLANG EAST
AZALEA PARK CONDOMINIUM,14 FLORA ROAD AZALEA PARK CONDOMINIUM SINGAPORE 509731,10852.272727272728,10567.76219236006,private,103.96329661891242,1.360248589059126,PASIR RIS,FLORA DRIVE
MOUNTBATTEN REGENCY,825 MOUNTBATTEN ROAD MOUNTBATTEN REGENCY SINGAPORE 437818,15849.056603773584,15849.056603773584,private,103.89786872746548,1.3026930258793157,MARINE PARADE,KATONG
GREENLANE APARTMENT,3 GREEN LANE GREENLANE APARTMENT SINGAPORE 438898,12592.586666666666,13584.210763990268,private,103.89318786980422,1.3109807081605118,GEYLANG,GEYLANG EAST
MABELLE,15 LORONG M TELOK KURAU MABELLE SINGAPORE 425303,16066.666666666666,15278.28520548246,private,103.90951343119812,1.310589193311538,BEDOK,FRANKEL
CASA MERAH,74 TANAH MERAH KECHIL AVENUE CASA MERAH SINGAPORE 465536,13146.067415730337,13389.520151482671,private,103.94554164347238,1.3285271498496112,BEDOK,BEDOK NORTH
21 RICHARDS,21 RICHARDS AVENUE 21 RICHARDS SINGAPORE 546430,13979.591836734691,15313.57619401215,private,103.8813983488944,1.361880873779417,HOUGANG,KOVAN
SEVENTY SAINT PATRICK'S,88 SAINT PATRICK'S ROAD SEVENTY ST. PATRICKS SINGAPORE 424185,21396.10389610389,21291.07884168114,private,103.91569828012727,1.3073067150852014,BEDOK,FRANKEL
COCO PALMS,19 PASIR RIS GROVE COCO PALMS SINGAPORE 518144,14329.962925513988,14613.046211521989,private,103.94646450594917,1.3715213647483648,PASIR RIS,PASIR RIS CENTRAL
THE GARDENS AT BISHAN,9 SIN MING WALK THE GARDENS AT BISHAN SINGAPORE 575578,14520.54794520548,14316.054335246949,private,103.83068715829076,1.36497333869878,BISHAN,UPPER THOMSON
THE ALPS RESIDENCES,105 TAMPINES STREET 86 THE ALPS RESIDENCES SINGAPORE 528577,14420.03046458492,14450.399999579886,private,103.92971544186216,1.354634549727728,TAMPINES,TAMPINES WEST
RIVEREDGE,21 SAMPAN PLACE RIVEREDGE SINGAPORE 436593,16314.102564102564,16758.653636392708,private,103.88193121357334,1.3009051495252812,KALLANG,TANJONG RHU
LANDED HOUSING DEVELOPMENT in WIMBORNE ROAD,WIMBORNE ROAD WIMBORNE ROAD PUMPING STATION,21037.86816269285,21037.86816269285,private,103.88610388632954,1.3054296385906017,MARINE PARADE,MOUNTBATTEN
FAR HORIZON GARDENS,15 ANG MO KIO AVENUE 9 FAR HORIZON GARDENS SINGAPORE 569765,10450.379511540248,10308.02357045694,private,103.8392051042974,1.3832182826434607,ANG MO KIO,YIO CHU KANG WEST
POSHGROVE EAST,331 EAST COAST ROAD POSHGROVE EAST SINGAPORE 429100,17869.565217391304,17102.48447204969,private,103.90943264153614,1.3091370825872402,BEDOK,FRANKEL
KINGSGROVE,1801 ANG MO KIO AVENUE 1 KINGSGROVE SINGAPORE 569979,11986.301369863011,11848.389031183107,private,103.85881743866784,1.355633252161094,SERANGOON,SERANGOON GARDEN
LANDED HOUSING DEVELOPMENT in SUNSET VALE,8 SUNSET VALE SINGAPORE 597234,18598.884066955983,18598.884066955983,private,103.76882351572208,1.3292125590253177,CLEMENTI,SUNSET WAY
GOODMAN CREST,29J GOODMAN ROAD GOODMAN CREST SINGAPORE 436552,8700.696055684455,9304.879388057172,private,103.89321512227038,1.3041931859176548,MARINE PARADE,MOUNTBATTEN
GAMBIR RIDGE,18 GAMBIR WALK GAMBIR RIDGE SINGAPORE 538982,15848.837209302324,15514.225602431405,private,103.87586039461138,1.344556692844507,SERANGOON,UPPER PAYA LEBAR
LOTUS VILLE,142L LORONG L TELOK KURAU LOTUS VILLE SINGAPORE 423370,9679.036549502873,9597.371677892796,private,103.91557360893842,1.312656236509293,BEDOK,FRANKEL
11 AMBER ROAD,11 AMBER ROAD ORCHID MANSION SINGAPORE 439857,16128.57142857143,16499.285714285714,private,103.89941694355988,1.2990539454482666,MARINE PARADE,MARINE PARADE
GOODWILL COURT,87 UPPER EAST COAST ROAD GOODWILL COURT SINGAPORE 455223,11753.59712230216,11753.59712230216,private,103.92782051156236,1.313399115617239,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in SOO CHOW DRIVE,50 SOO CHOW DRIVE SOO CHOW GARDEN SINGAPORE 575550,18648.01864801865,18648.01864801865,private,103.83147549264,1.35336232312523,BISHAN,UPPER THOMSON
LANDED HOUSING DEVELOPMENT in HAI SING CRESCENT,3A HAI SING CRESCENT HAI SING PARK SINGAPORE 538963,18589.4441849603,18315.741794338897,private,103.89318332746724,1.3652489058764308,HOUGANG,KANGKAR
LANDED HOUSING DEVELOPMENT in SIMON LANE,38 SIMON LANE SINGAPORE 546052,19153.22580645161,21370.802233279675,private,103.88511219939484,1.3643203997304938,HOUGANG,KOVAN
ROSALIA PARK,42 LORONG ONG LYE ROSALIA PARK SINGAPORE 536412,11081.951782844217,11389.4615629245,private,103.87865771227952,1.349179998752727,SERANGOON,UPPER PAYA LEBAR
HAIG APARTMENTS,185 HAIG ROAD HAIG APARTMENTS SINGAPORE 438782,11746.835443037977,11950.006109453634,private,103.89958212556992,1.3061777296699593,MARINE PARADE,KATONG
AFFLUENCE COURT,8 AH SOO GARDEN AFFLUENCE COURT SINGAPORE 539960,10514.29413498379,10514.29413498379,private,103.88306233965169,1.350149929754534,HOUGANG,TAI SENG
EXCELSIOR GARDENS,28 MINARET WALK EXCELSIOR GARDENS SINGAPORE 467398,18081.496086514904,20279.374289708783,private,103.9516314495117,1.3242811260714524,BEDOK,BEDOK SOUTH
LANDED HOUSING DEVELOPMENT in RIVIERA DRIVE,1 RIVIERA DRIVE SINGAPORE 467196,23119.12225705329,21110.340756856636,private,103.94348490197126,1.316104044448637,BEDOK,BEDOK SOUTH
THE QUINN,13 BARTLEY ROAD THE QUINN SINGAPORE 539789,15829.820864067438,15507.781021146742,private,103.87322368723255,1.3440007066297717,SERANGOON,UPPER PAYA LEBAR
ONEROBEY,1 ROBEY CRESCENT ONEROBEY SINGAPORE 546256,15076.230076230077,14843.673738443353,private,103.8818947468758,1.3669157167217711,HOUGANG,KOVAN
MARSHALL LODGE,89 MARSHALL ROAD MARSHALL LODGE SINGAPORE 424886,12727.272727272728,12828.282828282829,private,103.90114340748772,1.3063449680864734,MARINE PARADE,KATONG
LANDED HOUSING DEVELOPMENT in KOON SENG ROAD,KOON SENG ROAD,22500.0,24985.068876799964,private,103.90447352487284,1.3116505383131385,MARINE PARADE,KATONG
MAYFAIR PARK,20 JALAN BANGKET MAYFAIR PARK SINGAPORE 588965,3744.7086531615055,4023.7750068947375,private,103.78091914324948,1.340459490214709,BUKIT TIMAH,SWISS CLUB
