project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
WESTWOOD PARK,58 WESTWOOD CRESCENT WESTWOOD PARK SINGAPORE 648770,10262.698266418043,10674.823525373646,private,103.70153022171927,1.3510003073307966
IVORY HEIGHTS,124 JURONG EAST STREET 13 IVORY HEIGHTS SINGAPORE 600124,10727.848101265823,10581.30588492104,private,103.73779544915662,1.3343003109547553
CASHEW ESTATE,34 CASHEW TERRACE CASHEW ESTATE SINGAPORE 679566,14590.290215580611,15471.515135998678,private,103.76635260318265,1.371338844985437
DAIRY FARM RESIDENCES,10 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677625,17636.363636363636,17565.069287517672,private,103.77503753560684,1.3668159652248653
NORTHILL,71 JALAN KASAU NORTHILL SINGAPORE 739675,13437.796771130104,13381.707315947679,private,103.75905504942828,1.4179693377795777
GREEN SPRINGS,10E GERALD CRESCENT GREEN SPRINGS SINGAPORE 799747,13221.509620128269,16525.703118969246,private,103.8764251354376,1.386768742446797
THE LAKEFRONT RESIDENCES,46 LAKESIDE DRIVE THE LAKEFRONT RESIDENCES SINGAPORE 648324,14989.247311827956,15239.044995734697,private,103.71937556720479,1.3426141871216266
MANDAI GARDEN,111 MENG SUAN ROAD MANDAI GARDEN SINGAPORE 779298,16094.185063662819,15376.02350556209,private,103.81412799131276,1.403442508675473
KECHUBONG TERRACE,7H JALAN KECHUBONG KECHUBONG TERRACE SINGAPORE 799425,20989.847715736043,18729.447025999183,private,103.87518610314649,1.3869050047097549
HILLVIEW VILLAS,2 HILLVIEW DRIVE HILLVIEW VILLAS SINGAPORE 669364,18364.274962368287,16669.98543247964,private,103.76077381221698,1.354942053222139
HUIT,8 MENG SUAN ROAD HUIT SINGAPORE 779211,16895.98238855256,17039.075399009354,private,103.81416602676906,1.4028562510157299
STRAITS GARDENS,9 KANDIS WALK STRAITS GARDENS SINGAPORE 757684,15200.0,14262.558959289514,private,103.8381863138297,1.457734281323373
SKYPARK RESIDENCES,7 SEMBAWANG CRESCENT SKYPARK RESIDENCES SINGAPORE 757096,12200.243517177834,12237.35139759122,private,103.8202189779497,1.4438380009721425
YUNNAN GARDENS,48 YUNNAN DRIVE 1 YUNNAN GARDENS SINGAPORE 638269,10911.808669656204,11657.467283424203,private,103.69163723687048,1.336003318049806
CASTLE GREEN,487 YIO CHU KANG ROAD CASTLE GREEN SINGAPORE 787059,11110.280373831776,11280.989765295944,private,103.84038852782751,1.3860886231959608
LANDED HOUSING DEVELOPMENT in SEMBAWANG PLACE,559 SEMBAWANG PLACE SEMBAWANG VILLAS SINGAPORE 757773,7921.400061406202,7921.400061406202,private,103.82470224482698,1.4381782230682023
AVANT PARC,13 WAK HASSAN PLACE AVANT PARC SINGAPORE 757108,15505.913272010514,15505.913272010514,private,103.83803788773196,1.4611218756849291
THE CALROSE,519 YIO CHU KANG ROAD THE CALROSE SINGAPORE 787085,14777.777777777777,15477.105913114165,private,103.83621963961116,1.3816207211577556
8 @ STRATTON,8 STRATTON DRIVE STRATTON PARK SINGAPORE 806868,6063.1578947368425,6307.674961462233,private,103.86480462662816,1.382710835378951
MIMOSA VILLAS,51 MIMOSA WALK MIMOSA VILLAS SINGAPORE 807898,13354.531001589825,12381.57232939755,private,103.86016030219736,1.3811207768940799
MUGLISTON HILL,43 MUGLISTON PARK MUGLISTON HILL SINGAPORE 798557,15793.474946908049,17001.479383019505,private,103.87938824387636,1.3865305002805923
LANDED HOUSING DEVELOPMENT in LORONG TANGGAM,102 LORONG TANGGAM JALAN KAYU ESTATE SINGAPORE 798784,12169.679995184722,12969.845046897773,private,103.87360307761934,1.3956214297894867
THE SKYWOODS,9 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677670,15096.47495361781,15240.75294586674,private,103.77141333324772,1.3657285140528204
THE TENNERY,5 WOODLANDS ROAD THE TENNERY SINGAPORE 677903,12912.885662431941,12926.75070004335,private,103.7598018190674,1.3804824051745417
