full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
952 HOUGANG AVE 9,4762.376237623763,4730.620391584614,public,1.37529714968237,103.877732108482
952 JURONG WEST ST 91,3191.4893617021276,3488.6105207143496,public,1.34258972190492,103.691518960906
953 HOUGANG AVE 9,3963.6690941821453,4209.305411060586,public,1.37602518905245,103.877538033383
953 JURONG WEST ST 91,3811.4754098360654,3679.4506715133143,public,1.34234942956379,103.690874115788
954 HOUGANG AVE 9,4123.966942148761,4383.0368396523445,public,1.37676277611734,103.878108300551
955 HOUGANG AVE 9,4689.6551724137935,4883.781966159777,public,1.37615503776205,103.878192318179
956 HOUGANG ST 91,4168.103448275862,4545.331500916208,public,1.37662824467932,103.878798899667
957 HOUGANG ST 91,4047.6011994002997,4133.958020989505,public,1.37663270919069,103.879383694154
958 HOUGANG ST 91,4213.04347826087,4437.00233216725,public,1.37669129401398,103.879790524049
959 HOUGANG ST 91,4518.248175182482,4686.496350364963,public,1.37696693831982,103.879223534354
95A HENDERSON RD,11000.0,10798.251369515314,public,1.28649254110004,103.82143358771
95B HENDERSON RD,10764.70588235294,10599.878580406092,public,1.28697703899167,103.821558832304
95C HENDERSON RD,10752.68817204301,10960.946950503978,public,1.28740640570626,103.822053233106
96 ALJUNIED CRES,4888.888888888889,4888.884444444445,public,1.32165649786917,103.885423356978
96 BEDOK NTH AVE 4,4991.056910569106,4760.781842818428,public,1.33326478123569,103.940334868697
96 C'WEALTH CRES,4852.941176470588,4821.708932427867,public,1.30619182602956,103.8011938191
96 GEYLANG BAHRU,5264.705882352941,5366.709292412617,public,1.32338061098186,103.870461630612
96 LOR 3 TOA PAYOH,4470.588235294118,4412.446455505279,public,1.33862406463359,103.848379785457
96 WHAMPOA DR,4120.879120879121,4258.938775510204,public,1.321556727417,103.855666149292
960 HOUGANG AVE 9,4346.715328467153,4754.510948905109,public,1.37710251650139,103.878482665421
961 HOUGANG AVE 9,4416.058394160584,4585.051094890511,public,1.37775216619067,103.87866526567
961 JURONG WEST ST 92,4181.697411003236,4160.399987552901,public,1.34128694894302,103.692069415924
962 HOUGANG AVE 9,4224.137931034483,4434.799953869219,public,1.37774257931559,103.878389313554
963 HOUGANG AVE 9,4702.970297029703,4513.507779349364,public,1.37709316621942,103.877867170995
964 HOUGANG AVE 9,3957.7520661157023,4167.078250070997,public,1.37715825014895,103.87752355745
965 HOUGANG AVE 9,3963.1146387366007,4075.8985598559857,public,1.37863450467064,103.877615544915
965 JURONG WEST ST 93,3786.4077669902913,3787.479431926507,public,1.34134181836569,103.692491245922
966 HOUGANG AVE 9,3982.608695652174,4367.901949025488,public,1.37816668318375,103.87836616705
